,Codigo_Municipio,Codigo_Municipio Latitude,Codigo_Municipio Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
162,25513,5.1328,-74.1598,Restaurante La olla de Barro,5.128779,-74.158964,Soup Place
163,25513,5.1328,-74.1598,Parque Principal Pacho,5.130530700884165,-74.15798639722296,Plaza
164,25513,5.1328,-74.1598,Terminal de Transporte Pacho,5.129680243875301,-74.15885220445612,Bus Station
165,25513,5.1328,-74.1598,Pa'chorizos,5.135985,-74.15885,Latin American Restaurant
166,25513,5.1328,-74.1598,Cafe la Colonia,5.12995609466668,-74.16237273010239,Breakfast Spot
167,25653,7.8771,-72.6243,Distribuciones Jhon Candela,7.8761368907574365,-72.62530625158996,Clothing Store
168,25653,7.8771,-72.6243,San Cayetano,7.882981591030404,-72.6302265728172,Rest Area
169,25871,5.2737,-74.1961,Villagómez - Cundinamarca,5.2737722,-74.19555,Park
170,25885,5.4595,-74.3382,Plaza Principal Yacopi,5.459844388921846,-74.33826162385512,Park
171,25885,5.4595,-74.3382,Fruteria Y Heladeria Laura,5.4585957527160645,-74.33770751953125,Ice Cream Shop
172,25126,4.9186,-74.028,Colombian Ale House,4.920574032874885,-74.02649211643649,Brewery
173,25126,4.9186,-74.028,Parque Cajicá,4.917086678457418,-74.02551668084169,Park
174,25126,4.9186,-74.028,Balú - Restaurante,4.913443,-74.028782,Restaurant
175,25126,4.9186,-74.028,La Fogata,4.920957810221664,-74.02740180460074,Burger Joint
176,25126,4.9186,-74.028,Caprinos,4.9165139152536925,-74.02497732019319,Restaurant
177,25126,4.9186,-74.028,San Alejo,4.913486255043864,-74.02879020712007,Argentinian Restaurant
178,25126,4.9186,-74.028,Koi No Kin,4.914714070227886,-74.02784260366542,Japanese Restaurant
179,25126,4.9186,-74.028,El Político,4.92257675059288,-74.02494768869855,Restaurant
180,25126,4.9186,-74.028,Cielito Lindo Restaurante,4.916493,-74.025191,Mexican Restaurant
181,25126,4.9186,-74.028,Panaderia La Estacion,4.916669223199873,-74.02350450312882,Bakery
182,25126,4.9186,-74.028,Carambola,4.917152106495532,-74.02323299445743,Restaurant
183,25126,4.9186,-74.028,Sol Y Luna Restaurante,4.917019263460856,-74.02685933795517,Restaurant
184,25126,4.9186,-74.028,La Estación,4.916618924077255,-74.02346175220025,Park
185,25126,4.9186,-74.028,La Hacienda Club,4.9170920428775435,-74.03186839830606,Pool
186,25126,4.9186,-74.028,Guachancio,4.918260107817438,-74.02419287682042,Bar
187,25126,4.9186,-74.028,restaurante sanalejo,4.91352376182426,-74.02870822354487,BBQ Joint
188,25126,4.9186,-74.028,La Gran América,4.9215532551528,-74.03477967477708,BBQ Joint
189,25126,4.9186,-74.028,Brasas Llaneras,4.917145,-74.027383,BBQ Joint
190,25126,4.9186,-74.028,Mercado Diana,4.91423920928988,-74.0271060645156,Grocery Store
191,25126,4.9186,-74.028,pietra pizza gourmet,4.917181968688965,-74.02310180664062,Italian Restaurant
192,25126,4.9186,-74.028,Arepitas Pues!,4.920813726222672,-74.03356504390315,Fast Food Restaurant
193,25126,4.9186,-74.028,Escénicas,4.911269246522725,-74.02831073670777,Dance Studio
194,25175,4.8588,-74.0587,Parque Principal de Chía,4.861299,-74.060198,Plaza
195,25175,4.8588,-74.0587,Garnituras,4.863171920590751,-74.06026409448063,BBQ Joint
196,25175,4.8588,-74.0587,El Galápago,4.862709460545227,-74.05910781457158,Steakhouse
197,25175,4.8588,-74.0587,Andrés Carne de Res,4.853900114947841,-74.06504196225032,BBQ Joint
198,25175,4.8588,-74.0587,Panadería La Huerta,4.854962752790843,-74.05612576093131,Bakery
199,25175,4.8588,-74.0587,Cafe Frances,4.861638,-74.060449,Café
200,25175,4.8588,-74.0587,El Punto Del Cerdo,4.865529,-74.0575,Restaurant
201,25175,4.8588,-74.0587,Yorking Food,4.851107,-74.060498,Theme Restaurant
202,25175,4.8588,-74.0587,D Nico Pizza - Parrilla - Restaurante,4.862592203859455,-74.05911468685693,Pizza Place
203,25175,4.8588,-74.0587,Wabi Sushi Y Teppanyaki,4.851388300934396,-74.06308455010047,Sushi Restaurant
204,25175,4.8588,-74.0587,Gourmet Sabana Food Trailer,4.851228260137351,-74.06049726428068,Food Truck
205,25175,4.8588,-74.0587,Jonny's Pizza,4.862776,-74.060087,Pizza Place
206,25175,4.8588,-74.0587,Andres Express,4.853723793110466,-74.06512144098943,Fast Food Restaurant
207,25175,4.8588,-74.0587,Tienda D1 Chia,4.8619886570715645,-74.05356132818356,Market
208,25175,4.8588,-74.0587,cutie,4.861720659694345,-74.05927531877698,Bagel Shop
209,25175,4.8588,-74.0587,Pan pa' Ya,4.8630286877716,-74.05404557928075,Bakery
210,25175,4.8588,-74.0587,Hamburguesas El Corral,4.852351210226502,-74.0628722907326,Fast Food Restaurant
211,25175,4.8588,-74.0587,C.C Plaza Chia,4.863114166752345,-74.05443197705017,Shopping Mall
212,25175,4.8588,-74.0587,Shapelli,4.8550254416098815,-74.06686502166679,Cupcake Shop
213,25175,4.8588,-74.0587,Las Delicias Del Maiz,4.862941412682334,-74.05312531379674,Coffee Shop
